dx,icddesc,ccscat,ccsdesc,'OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'20065',ANAPLASTIC LYMPH INGUIN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20066',ANAPLASTIC LYMPH PELVIC (Begin 2007),38,'Non-Hodg lym',' ',' '
'20067',ANAPLASTIC LYMPH SPLEEN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20068',ANAPLASTIC LYMPH MULTIP (Begin 2007),38,'Non-Hodg lym',' ',' '
'20070',LARGE CELL LYMPH XTRNDL (Begin 2007),38,'Non-Hodg lym',' ',' '
'20071',LARGE CELL LYMPHOMA HEAD (Begin 2007),38,'Non-Hodg lym',' ',' '
'20072',LARGE CELL LYMPH THORAX (Begin 2007),38,'Non-Hodg lym',' ',' '
'20073',LARGE CELL LYMPH ABDOM (Begin 2007),38,'Non-Hodg lym',' ',' '
'20074',LARGE CELL LYMPH AXILLA (Begin 2007),38,'Non-Hodg lym',' ',' '
'20075',LARGE CELL LYMPH INGUIN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20076',LARGE CELL LYMPH PELVIC (Begin 2007),38,'Non-Hodg lym',' ',' '
'20077',LARGE CELL LYMPH SPLEEN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20078',LARGE CELL LYMPH MULTIP (Begin 2007),38,'Non-Hodg lym',' ',' '
'20080',MIXED LYMPHOSARC UNSPEC,38,'Non-Hodg lym',' ',' '
'20081',MIXED LYMPHOSARC HEAD,38,'Non-Hodg lym',' ',' '
'20082',MIXED LYMPHOSARC THORAX,38,'Non-Hodg lym',' ',' '
'20083',MIXED LYMPHOSARC ABDOM,38,'Non-Hodg lym',' ',' '
'20084',MIXED LYMPHOSARC AXILLA,38,'Non-Hodg lym',' ',' '
'20085',MIXED LYMPHOSARC INGUIN,38,'Non-Hodg lym',' ',' '
'20086',MIXED LYMPHOSARC PELVIC,38,'Non-Hodg lym',' ',' '
'20087',MIXED LYMPHOSARC SPLEEN,38,'Non-Hodg lym',' ',' '
'20088',MIXED LYMPHOSARC MULT,38,'Non-Hodg lym',' ',' '
'20200',NODULAR LYMPHOMA UNSPEC,38,'Non-Hodg lym',' ',' '
'20201',NODULAR LYMPHOMA HEAD,38,'Non-Hodg lym',' ',' '
'20202',NODULAR LYMPHOMA THORAX,38,'Non-Hodg lym',' ',' '
'20203',NODULAR LYMPHOMA ABDOM,38,'Non-Hodg lym',' ',' '
'20204',NODULAR LYMPHOMA AXILLA,38,'Non-Hodg lym',' ',' '
'20205',NODULAR LYMPHOMA INGUIN,38,'Non-Hodg lym',' ',' '
'20206',NODULAR LYMPHOMA PELVIC,38,'Non-Hodg lym',' ',' '
'20207',NODULAR LYMPHOMA SPLEEN,38,'Non-Hodg lym',' ',' '
'20208',NODULAR LYMPHOMA MULT,38,'Non-Hodg lym',' ',' '
'20210',MYCOSIS FUNGOIDES UNSPEC,38,'Non-Hodg lym',' ',' '
'20211',MYCOSIS FUNGOIDES HEAD,38,'Non-Hodg lym',' ',' '
'20212',MYCOSIS FUNGOIDES THORAX,38,'Non-Hodg lym',' ',' '
'20213',MYCOSIS FUNGOIDES ABDOM,38,'Non-Hodg lym',' ',' '
'20214',MYCOSIS FUNGOIDES AXILLA,38,'Non-Hodg lym',' ',' '
'20215',MYCOSIS FUNGOIDES INGUIN,38,'Non-Hodg lym',' ',' '
'20216',MYCOSIS FUNGOIDES PELVIC,38,'Non-Hodg lym',' ',' '
'20217',MYCOSIS FUNGOIDES SPLEEN,38,'Non-Hodg lym',' ',' '
'20218',MYCOSIS FUNGOIDES MULT,38,'Non-Hodg lym',' ',' '
'20220',SEZARY-s DISEASE UNSPEC,38,'Non-Hodg lym',' ',' '
'20221',SEZARY-s DISEASE HEAD,38,'Non-Hodg lym',' ',' '
'20222',SEZARY-s DISEASE THORAX,38,'Non-Hodg lym',' ',' '
'20223',SEZARY-s DISEASE ABDOM,38,'Non-Hodg lym',' ',' '
'20224',SEZARY-s DISEASE AXILLA,38,'Non-Hodg lym',' ',' '
'20225',SEZARY-s DISEASE INGUIN,38,'Non-Hodg lym',' ',' '
'20226',SEZARY-s DISEASE PELVIC,38,'Non-Hodg lym',' ',' '
'20227',SEZARY-s DISEASE SPLEEN,38,'Non-Hodg lym',' ',' '
'20228',SEZARY-s DISEASE MULT,38,'Non-Hodg lym',' ',' '
'20270',PERIPH T CELL LYM XTRNDL (Begin 2007),38,'Non-Hodg lym',' ',' '
'20271',PERIPH T CELL LYMPH HEAD (Begin 2007),38,'Non-Hodg lym',' ',' '
'20272',PERIPH T CELL LYM THORAX (Begin 2007),38,'Non-Hodg lym',' ',' '
'20273',PERIPH T CELL LYM ABDOM (Begin 2007),38,'Non-Hodg lym',' ',' '
'20274',PERIPH T CELL LYM AXILLA (Begin 2007),38,'Non-Hodg lym',' ',' '
'20275',PERIPH T CELL LYM INGUIN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20276',PERIPH T CELL LYM PELVIC (Begin 2007),38,'Non-Hodg lym',' ',' '
'20277',PERIPH T CELL LYM SPLEEN (Begin 2007),38,'Non-Hodg lym',' ',' '
'20278',PERIPH T CELL LYM MULTIP (Begin 2007),38,'Non-Hodg lym',' ',' '
'20280',LYMPHOMA NEC UNSPEC SITE,38,'Non-Hodg lym',' ',' '
'20281',LYMPHOMAS NEC HEAD,38,'Non-Hodg lym',' ',' '
'20282',LYMPHOMAS NEC THORAX,38,'Non-Hodg lym',' ',' '
'20283',LYMPHOMAS NEC ABDOM,38,'Non-Hodg lym',' ',' '
'20284',LYMPHOMAS NEC AXILLA,38,'Non-Hodg lym',' ',' '
'20285',LYMPHOMAS NEC INGUIN,38,'Non-Hodg lym',' ',' '
'20286',LYMPHOMAS NEC PELVIC,38,'Non-Hodg lym',' ',' '
'20287',LYMPHOMAS NEC SPLEEN,38,'Non-Hodg lym',' ',' '
'20288',LYMPHOMAS NEC MULT,38,'Non-Hodg lym',' ',' '
'20290',LYMPHOID MAL NEC UNSPEC,38,'Non-Hodg lym',' ',' '
'20291',LYMPHOID MAL NEC HEAD,38,'Non-Hodg lym',' ',' '
'20292',LYMPHOID MAL NEC THORAX,38,'Non-Hodg lym',' ',' '
'20293',LYMPHOID MAL NEC ABDOM,38,'Non-Hodg lym',' ',' '
'20294',LYMPHOID MAL NEC AXILLA,38,'Non-Hodg lym',' ',' '
'20295',LYMPHOID MAL NEC INGUIN,38,'Non-Hodg lym',' ',' '
'20296',LYMPHOID MAL NEC PELVIC,38,'Non-Hodg lym',' ',' '
'20297',LYMPHOID MAL NEC SPLEEN,38,'Non-Hodg lym',' ',' '
'20298',LYMPHOID MAL NEC MULT,38,'Non-Hodg lym',' ',' '
'v1071',HX-LYMPHOSARCOMA,38,'Non-Hodg lym',' ',' '
'v1079',HX-LYMPHATIC MALIGN NEC,38,'Non-Hodg lym',' ',' '
'20240',HAIRY-CELL LEUKEM UNSPEC,39,'Leukemias',' ',' '
'20241',HAIRY-CELL LEUKEM HEAD,39,'Leukemias',' ',' '
'20242',HAIRY-CELL LEUKEM THORAX,39,'Leukemias',' ',' '
'20243',HAIRY-CELL LEUKEM ABDOM,39,'Leukemias',' ',' '
'20244',HAIRY-CELL LEUKEM AXILLA,39,'Leukemias',' ',' '
'20245',HAIRY-CELL LEUKEM INGUIN,39,'Leukemias',' ',' '
'20246',HAIRY-CELL LEUKEM PELVIC,39,'Leukemias',' ',' '
'20247',HAIRY-CELL LEUKEM SPLEEN,39,'Leukemias',' ',' '
'20248',HAIRY-CELL LEUKEM MULT,39,'Leukemias',' ',' '
'2031',PLASMA CELL LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20310',PLSM CELL LEUK W/O RMSON (Begin 1991),39,'Leukemias',' ',' '
'20311',PLSM CELL LEUK W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20312',PLSM CEL LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2040',ACUTE LYMPHOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20400',ACT LYM LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20401',ACT LYM LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20402',ACT LYMP LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2041',CHR LYMPHOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20410',CHR LYM LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20411',CHR LYM LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20412',CHR LYMP LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2042',SUBAC LYMPHOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20420',SBAC LYM LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20421',SBAC LYM LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20422',SBAC LYM LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2048',LYMPHOID LEUKEMIA NEC (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20480',OTH LYM LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20481',OTH LYM LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20482',OTH LYM LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2049',LYMPHOID LEUKEMIA NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20490',UNS LYM LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20491',UNS LYM LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20492',LYMP LEUK NOS RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2050',ACUTE MYELOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20500',ACT MYL LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20501',ACT MYL LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20502',ACT MYEL LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2051',CHRONIC MYELOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20510',CHR MYL LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20511',CHR MYL LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20512',CHR MYEL LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2052',SUBACUT MYELOID LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20520',SBAC MYL LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20521',SBAC MYL LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20522',SBAC MYL LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2053',MYELOID SARCOMA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20530',MYL SRCOMA W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20531',MYL SRCOMA W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20532',MYEL SARCOMA IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2058',MYELOID LEUKEMIA NEC (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20580',OTH MYL LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20581',OTH MYL LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20582',OTH MYEL LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2059',MYELOID LEUKEMIA NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20590',UNS MYL LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20591',UNS MYL LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20592',MYEL LEUK NOS IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2060',ACUTE MONOCYTIC LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20600',ACT MONO LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20601',ACT MONO LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20602',ACT MONO LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2061',CHR MONOCYTIC LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20610',CHR MONO LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20611',CHR MONO LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20612',CHR MONO LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2062',SUBAC MONOCYTIC LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20620',SBAC MONO LEUK W/O RMSON (Begin 1991),39,'Leukemias',' ',' '
'20621',SBAC MONO LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20622',SBAC MONO LEU IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2068',MONOCYTIC LEUKEMIA NEC (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20680',OTH MONO LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20681',OTH MONO LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20682',OTH MONO LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2069',MONOCYTIC LEUKEMIA NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20690',UNS MONO LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20691',UNS MONO LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20692',MONO LEUK NOS RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2070',ACUTE ERYTHREMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20700',ACT ERTH/ERYLK W/O RMSON (Begin 1991),39,'Leukemias',' ',' '
'20701',ACT ERTH/ERYLK W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20702',AC ERTH/ERYLK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2071',CHRONIC ERYTHREMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20710',CHR ERYTHRM W/O REMISION (Begin 1991),39,'Leukemias',' ',' '
'20711',CHR ERYTHRM W REMISION (Begin 1991),39,'Leukemias',' ',' '
'20712',CHR ERYTHRMIA IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2072',MEGAKARYOCYTIC LEUKEMIA (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20720',MGKRYCYT LEUK W/O RMSION (Begin 1991),39,'Leukemias',' ',' '
'20721',MGKRYCYT LEUK W RMSION (Begin 1991),39,'Leukemias',' ',' '
'20722',MGKRYCYT LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2078',SPECIFIED LEUKEMIA NEC (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20780',OTH SPF LEUK W/O REMSION (Begin 1991),39,'Leukemias',' ',' '
'20781',OTH SPF LEUK W REMSION (Begin 1991),39,'Leukemias',' ',' '
'20782',OTH SPF LEUK IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2080',ACT LEUK UNS CL W/O RMSN (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20800',ACT LEUK UNS CL W/O RMSN (Begin 1991),39,'Leukemias',' ',' '
'20801',ACT LEUK UNS CL W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20802',AC LEUK UNS CL RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2081',CHRONIC LEUKEMIA NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20810',CHR LEUK UNS CL W/O RMSN (Begin 1991),39,'Leukemias',' ',' '
'20811',CHR LEUK UNS CL W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20812',CH LEU UNS CL IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2082',SUBACUTE LEUKEMIA NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20820',SBAC LEUK UNS CL W/O RMS (Begin 1991),39,'Leukemias',' ',' '
'20821',SBAC LEUK UNS CL W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20822',SBAC LEU UNS CL-RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2088',LEUKEMIA-UNSPEC CELL NEC (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20880',OTH LEUK UNS CL W/O RMSN (Begin 1991),39,'Leukemias',' ',' '
'20881',OTH LEUK UNS CL W RMSON (Begin 1991),39,'Leukemias',' ',' '
'20882',OTH LEUK UNS CL-RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'2089',LEUKEMIA-UNSPEC CELL NOS (Begin 1980 End 1991),39,'Leukemias',' ',' '
'20890',LEUKEMIA NOS W/O REMSION (Begin 1991),39,'Leukemias',' ',' '
'20891',LEUKEMIA NOS W REMISSION (Begin 1991),39,'Leukemias',' ',' '
'20892',LEUKEMIA NOS IN RELAPSE (Begin 2008),39,'Leukemias',' ',' '
'v1060',HX OF LEUKEMIA NOS,39,'Leukemias',' ',' '
'v1061',HX OF LYMPHOID LEUKEMIA,39,'Leukemias',' ',' '
'v1062',HX OF MYELOID LEUKEMIA,39,'Leukemias',' ',' '
'v1063',HX OF MONOCYTIC LEUKEMIA,39,'Leukemias',' ',' '
'v1069',HX OF LEUKEMIA NEC,39,'Leukemias',' ',' '
'2030',MULTIPLE MYELOMA (Begin 1980 End 1991),40,'Mult myeloma',' ',' '
'20300',MULT MYELM W/O REMISSION (Begin 1991),40,'Mult myeloma',' ',' '
'20301',MULT MYELM W REMISSION (Begin 1991),40,'Mult myeloma',' ',' '
'20302',MULT MYELOMA IN RELAPSE (Begin 2008),40,'Mult myeloma',' ',' '
'2038',IMMUNOPROLIFERAT NEO NEC (Begin 1980 End 1991),40,'Mult myeloma',' ',' '
'20380',OTH IMNPRFL NPL W/O RMSN (Begin 1991),40,'Mult myeloma',' ',' '
'20381',OTH IMNPRFL NPL W RMSN (Begin 1991),40,'Mult myeloma',' ',' '
'20382',OTH IMNPRLF NEO-RELAPSE (Begin 2008),40,'Mult myeloma',' ',' '
'1640',MALIGNANT NEOPL THYMUS,41,'Ot primry ca',' ',' '
'1641',MALIGNANT NEOPL HEART,41,'Ot primry ca',' ',' '
'1642',MAL NEO ANT MEDIASTINUM,41,'Ot primry ca',' ',' '
'1643',MAL NEO POST MEDIASTINUM,41,'Ot primry ca',' ',' '
'1648',MAL NEO MEDIASTINUM NEC,41,'Ot primry ca',' ',' '
'1649',MAL NEO MEDIASTINUM NOS,41,'Ot primry ca',' ',' '
'1760',SKIN - KAPOSI-S SARCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1761',SFT TISUE - KPSI-S SRCMA (Begin 1991),41,'Ot primry ca',' ',' '
'1762',PALATE - KPSI-S SARCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1763',GI SITES - KPSI-S SRCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1764',LUNG - KAPOSI-S SARCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1765',LYM NDS - KPSI-S SARCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1768',SPF STS - KPSI-S SARCOMA (Begin 1991),41,'Ot primry ca',' ',' '
'1769',KAPOSI-S SARCOMA NOS (Begin 1991),41,'Ot primry ca',' ',' '
'1900',MALIGN NEOPL EYEBALL,41,'Ot primry ca',' ',' '
'1901',MALIGN NEOPL ORBIT,41,'Ot primry ca',' ',' '
'1902',MAL NEO LACRIMAL GLAND,41,'Ot primry ca',' ',' '
'1903',MAL NEO CONJUNCTIVA,41,'Ot primry ca',' ',' '
'1904',MALIGN NEOPL CORNEA,41,'Ot primry ca',' ',' '
'1905',MALIGN NEOPL RETINA,41,'Ot primry ca',' ',' '
'1906',MALIGN NEOPL CHOROID,41,'Ot primry ca',' ',' '
'1907',MAL NEO LACRIMAL DUCT,41,'Ot primry ca',' ',' '
'1908',MALIGN NEOPL EYE NEC,41,'Ot primry ca',' ',' '
'1909',MALIGN NEOPL EYE NOS,41,'Ot primry ca',' ',' '
'1940',MALIGN NEOPL ADRENAL,41,'Ot primry ca',' ',' '
'1941',MALIG NEO PARATHYROID,41,'Ot primry ca',' ',' '
'1943',MALIG NEO PITUITARY,41,'Ot primry ca',' ',' '
'1944',MALIGN NEO PINEAL GLAND,41,'Ot primry ca',' ',' '
'1945',MAL NEO CAROTID BODY,41,'Ot primry ca',' ',' '
'1946',MAL NEO PARAGANGLIA NEC,41,'Ot primry ca',' ',' '
'1948',MAL NEO ENDOCRINE NEC,41,'Ot primry ca',' ',' '
'1949',MAL NEO ENDOCRINE NOS,41,'Ot primry ca',' ',' '
'1951',MALIGN NEOPL THORAX,41,'Ot primry ca',' ',' '
'1952',MALIG NEO ABDOMEN,41,'Ot primry ca',' ',' '
'1953',MALIGN NEOPL PELVIS,41,'Ot primry ca',' ',' '
'1954',MALIGN NEOPL ARM,41,'Ot primry ca',' ',' '
'1955',MALIGN NEOPL LEG,41,'Ot primry ca',' ',' '
'1958',MALIG NEO SITE NEC,41,'Ot primry ca',' ',' '
'20230',MAL HISTIOCYTOSIS UNSPEC,41,'Ot primry ca',' ',' '
'20231',MAL HISTIOCYTOSIS HEAD,41,'Ot primry ca',' ',' '
'20232',MAL HISTIOCYTOSIS THORAX,41,'Ot primry ca',' ',' '
'20233',MAL HISTIOCYTOSIS ABDOM,41,'Ot primry ca',' ',' '
'20234',MAL HISTIOCYTOSIS AXILLA,41,'Ot primry ca',' ',' '
'20235',MAL HISTIOCYTOSIS INGUIN,41,'Ot primry ca',' ',' '
'20236',MAL HISTIOCYTOSIS PELVIC,41,'Ot primry ca',' ',' '
'20237',MAL HISTIOCYTOSIS SPLEEN,41,'Ot primry ca',' ',' '
'20238',MAL HISTIOCYTOSIS MULT,41,'Ot primry ca',' ',' '
'20250',LETTERER-SIWE DIS UNSPEC,41,'Ot primry ca',' ',' '
'20251',LETTERER-SIWE DIS HEAD,41,'Ot primry ca',' ',' '
'20252',LETTERER-SIWE DIS THORAX,41,'Ot primry ca',' ',' '
'20253',LETTERER-SIWE DIS ABDOM,41,'Ot primry ca',' ',' '
'20254',LETTERER-SIWE DIS AXILLA,41,'Ot primry ca',' ',' '
'20255',LETTERER-SIWE DIS INGUIN,41,'Ot primry ca',' ',' '
'20256',LETTERER-SIWE DIS PELVIC,41,'Ot primry ca',' ',' '
'20257',LETTERER-SIWE DIS SPLEEN,41,'Ot primry ca',' ',' '
'20258',LETTERER-SIWE DIS MULT,41,'Ot primry ca',' ',' '
'20260',MAL MASTOCYTOSIS UNSPEC,41,'Ot primry ca',' ',' '
'20261',MAL MASTOCYTOSIS HEAD,41,'Ot primry ca',' ',' '
'20262',MAL MASTOCYTOSIS THORAX,41,'Ot primry ca',' ',' '
'20263',MAL MASTOCYTOSIS ABDOM,41,'Ot primry ca',' ',' '
'20264',MAL MASTOCYTOSIS AXILLA,41,'Ot primry ca',' ',' '
'20265',MAL MASTOCYTOSIS INGUIN,41,'Ot primry ca',' ',' '
'20266',MAL MASTOCYTOSIS PELVIC,41,'Ot primry ca',' ',' '
'20267',MAL MASTOCYTOSIS SPLEEN,41,'Ot primry ca',' ',' '
'20268',MAL MASTOCYTOSIS MULT,41,'Ot primry ca',' ',' '
'20922',MALIG CARCINOID THYMUS (Begin 2008),41,'Ot primry ca',' ',' '
'20925',MAL CARCNOID FOREGUT NOS (Begin 2008),41,'Ot primry ca',' ',' '
'20926',MAL CARCINOID MIDGUT NOS (Begin 2008),41,'Ot primry ca',' ',' '
'20927',MAL CARCNOID HINDGUT NOS (Begin 2008),41,'Ot primry ca',' ',' '
'2340',CA IN SITU EYE,41,'Ot primry ca',' ',' '
'2348',CA IN SITU NEC,41,'Ot primry ca',' ',' '
'2349',CA IN SITU NOS,41,'Ot primry ca',' ',' '
'7951',ABN PAP SMEAR-OTH SITE (end 2008),41,'Ot primry ca',' ',' '
'79510',ABN GLAND PAP SMR VAGINA (Begin 2008),41,'Ot primry ca',' ',' '
'79511',PAP SMEAR VAG W ASC-US (Begin 2008),41,'Ot primry ca',' ',' '
'79512',PAP SMEAR VAGINA W ASC-H (Begin 2008),41,'Ot primry ca',' ',' '
'79513',PAP SMEAR VAGINA W LGSIL (Begin 2008),41,'Ot primry ca',' ',' '
'79514',PAP SMEAR VAGINA W HGSIL (Begin 2008),41,'Ot primry ca',' ',' '
'v1029',HX-INTRATHORACIC MAL NEC,41,'Ot primry ca',' ',' '
'v1081',HX OF BONE MALIGNANCY,41,'Ot primry ca',' ',' '
'v1084',HX OF EYE MALIGNANCY,41,'Ot primry ca',' ',' '
'v1088',HX-ENDOCRINE MALIGN NEC,41,'Ot primry ca',' ',' '
'v1089',HX OF MALIGNANCY NEC,41,'Ot primry ca',' ',' '
'v109',HX OF MALIGNANCY NOS (end 2009),41,'Ot primry ca',' ',' '
'v1090',Hx malig neoplasm NOS (Begin 2009),41,'Ot primry ca',' ',' '
'v1091',Hx malig neuroendo tumor (Begin 2009),41,'Ot primry ca',' ',' '
'v711',OBSV-SUSPCT MAL NEOPLASM,41,'Ot primry ca',' ',' '
'1960',MAL NEO LYMPH-HEAD/NECK,42,'2ndary malig',' ',' '
'1961',MAL NEO LYMPH-INTRATHOR,42,'2ndary malig',' ',' '
'1962',MAL NEO LYMPH INTRA-ABD,42,'2ndary malig',' ',' '
'1963',MAL NEO LYMPH-AXILLA/ARM,42,'2ndary malig',' ',' '
'1965',MAL NEO LYMPH-INGUIN/LEG,42,'2ndary malig',' ',' '
'1966',MAL NEO LYMPH-INTRAPELV,42,'2ndary malig',' ',' '
'1968',MAL NEO LYMPH NODE-MULT,42,'2ndary malig',' ',' '
'1969',MAL NEO LYMPH NODE NOS,42,'2ndary malig',' ',' '
'1970',SECONDARY MALIG NEO LUNG,42,'2ndary malig',' ',' '
'1971',SEC MAL NEO MEDIASTINUM,42,'2ndary malig',' ',' '
'1972',SECOND MALIG NEO PLEURA,42,'2ndary malig',' ',' '
'1973',SEC MALIG NEO RESP NEC,42,'2ndary malig',' ',' '
'1974',SEC MALIG NEO SM BOWEL,42,'2ndary malig',' ',' '
'1975',SEC MALIG NEO LG BOWEL,42,'2ndary malig',' ',' '
'1976',SEC MAL NEO PERITONEUM,42,'2ndary malig',' ',' '
'1977',SECOND MALIG NEO LIVER,42,'2ndary malig',' ',' '
'1978',SEC MAL NEO GI NEC,42,'2ndary malig',' ',' '
'1980',SECOND MALIG NEO KIDNEY,42,'2ndary malig',' ',' '
'1981',SEC MALIG NEO URIN NEC,42,'2ndary malig',' ',' '
'1982',SECONDARY MALIG NEO SKIN,42,'2ndary malig',' ',' '
'1983',SEC MAL NEO BRAIN/SPINE,42,'2ndary malig',' ',' '
'1984',SEC MALIG NEO NERVE NEC,42,'2ndary malig',' ',' '
'1985',SECONDARY MALIG NEO BONE,42,'2ndary malig',' ',' '
'1986',SECOND MALIG NEO OVARY,42,'2ndary malig',' ',' '
'1987',SECOND MALIG NEO ADRENAL,42,'2ndary malig',' ',' '
'19881',SECOND MALIG NEO BREAST,42,'2ndary malig',' ',' '
'19882',SECOND MALIG NEO GENITAL,42,'2ndary malig',' ',' '
'19889',SECONDARY MALIG NEO NEC,42,'2ndary malig',' ',' '
'20971',Sec neuroend tu dist lym (Begin 2009),42,'2ndary malig',' ',' '
'20972',Sec neuroend tumor-liver (Begin 2009),42,'2ndary malig',' ',' '
'20973',Sec neuroendo tumor-bone (Begin 2009),42,'2ndary malig',' ',' '
'20974',Sec neuroendo tu-periton (Begin 2009),42,'2ndary malig',' ',' '
'51181',MALIGNANT PLEURAL EFFUSN (Begin 2008),42,'2ndary malig',' ',' '
